Accomodation_Type,Any_Relationships,Household_Address,Household_Address_Postcode,Household_ID,Household_UPRN,Resident_Count,Ownership_Type,Census_Address,Census_Address_Postcode,Census_Address_Country,Census_Address_Indicator,Resident_Count_verify,Other_Address_Count,Other_Address_Count_verify
3,,"Flat 69
Knight expressway, Colesview",GL2 9HB,76584091340717973,377365949384,2,-9,"Flat 69
Knight expressway, Colesview",GL2 9HB,308,338290958715,2,4,4
-3,,"Studio 16B
Bradshaw lane, West Frankchester",M3 4DW,57572199561488893,720316078704,3,-9,"Studio 16B
Bradshaw lane, West Frankchester",M3 4DW,263,666156650110,3,20,20
3,,"Studio 68
Nicole forge, East Donnaton",G22 3TZ,24451464728138411,601132116773,2,2,"4 Bolton pass, New Marilynview",G22 3TZ,494,442182189786,2,85,85
1,,"Flat 81K
Rachael route, New Sheilahaven",G8 2JE,25285997906069479,206998323316,2,-7,"Flat 81K
Rachael route, New Sheilahaven",G8 2JE,558,477714195664,2,33,33
3,,"673 Oliver path, Atkinsonland",SM7 6DA,25298271711589704,818989886636,2,-7,"673 Oliver path, Atkinsonland",SM7 6DA,491,474554064314,2,12,12
3,,"Studio 11
Patel road, New Shirleychester",PH93 4AE,37878046727610294,937463592730,5,-7,"Studio 11
Patel road, New Shirleychester",PH93 4AE,653,179791716782,5,11,11
2,,"181 Alexandra route, Allenport",TN17 6EN,42505582053332245,793161904107,1,-7,"181 Alexandra route, Allenport",TN17 6EN,834,340393940952,1,1,1
7,,"Studio 62d
May crossing, Woodston",PE9N 1EX,94602415513409925,22396674036,2,2,"Studio 62d
May crossing, Woodston",WC25 4UL,510,609203775261,2,47,47
4,,"457 Kelly crest, Glenton",M8 6DR,53968649727428629,806293495877,2,4,"457 Kelly crest, Glenton",M8 6DR,347,166009252358,2,32,32
-9,,"Flat 0
Amy port, Smithbury",CR17 4JF,36560672296623806,186962065070,2,-7,"Flat 0
Amy port, Smithbury",CR17 4JF,238,659533715758,2,54,54
5,,"1 Leonard passage, East Carly",L3J 0PB,64385620014050521,990762903824,3,-7,"1 Leonard passage, East Carly",L3J 0PB,397,88690964497,3,68,68
-3,,"4 Leonard summit, Garryport",DT6E 0ZJ,37745795480703336,720402107347,2,5,"4 Leonard summit, Garryport",DT6E 0ZJ,206,445609000087,2,47,47
3,,"Studio 84a
Booth forks, Kirstytown",N1D 1XH,26974910397487298,788697281988,2,5,"Studio 84a
Booth forks, Kirstytown",N1D 1XH,596,728481309573,2,88,88
6,,"593 Bell underpass, Bondhaven",TF2A 9YT,13755411478179589,15673246590,5,-7,"593 Bell underpass, Bondhaven",TF2A 9YT,972,113211714455,5,85,85
1,,"Studio 44
Leslie cliff, New Chloemouth",CR62 1HR,38845898761166547,665673235562,1,1,"Studio 44
Leslie cliff, New Chloemouth",CR62 1HR,496,994773650789,1,8,8
-7,,"Flat 43u
Parkin junction, Port Connor",SA0B 8QS,84064868971410072,923023093064,2,-7,"Flat 43u
Parkin junction, Port Connor",SA0B 8QS,510,34860830481,2,69,69
1,,"38 Sean curve, Millsbury",AB6R 6FH,27016112824223675,214014516757,2,-7,"38 Sean curve, Millsbury",AB6R 6FH,245,247441296510,2,53,53
2,,"39 Frederick mountains, North Naomiview",NR4 1WA,44697890885502291,882222761939,5,2,"39 Frederick mountains, North Naomiview",NR4 1WA,667,433942689639,5,50,50
3,,"98 Mark cliffs, Skinnershire",M4C 3UF,17166783171733883,307244015228,1,2,"98 Mark cliffs, Skinnershire",M4C 3UF,629,340998130656,1,68,68
6,,"157 Dickinson spur, East Sophie",CH71 8XA,32497260300302878,78940226867,2,-7,"157 Dickinson spur, East Sophie",CH71 8XA,981,954328881272,2,9,9
3,,"6 Eleanor roads, Lisachester",M7K 5HP,48130521871291384,218497280933,5,-9,"6 Eleanor roads, Lisachester",M7K 5HP,472,256713472760,5,46,46
1,,"Studin 86g
William hills, Lake Sally",HD6V 0NF,35632814547874420,497764917110,2,5,"Studio 86g
William hills, Lake Sally",HD6V 0NF,991,399296569793,2,55,55
5,,"025 Robinson corner, Vanessamouth",B4C 0DR,79811078943782667,431835799660,1,5,"025 Robinson corner, Vanessamouth",B4C 0DR,765,259146460808,1,91,91
2,,"Flat 31
Geoffrey mission, Rosshaven",B29 2QF,43730119910132170,685515710613,1,-9,"Flat 31
Geoffrey mission, Rosshaven",B29 2QF,587,54478296608,1,76,76
-9,,"Flat 9
Palmer expressway, Port Davidbury",M68 8WA,56302067802542244,904799628777,1,4,"Flat 9
Palmer expressway, Port Davidbury",M68 8WA,248,32149961715,1,60,60
1,,"6 Kerry locks, Lake Frederick",W2C 8YS,70913828997094090,419657044789,3,1,"6 Kerry locks, Lake Frederick",W2C 8YS,750,621262699544,3,33,33
1,,"Studio 1
Jordan brook, East Amanda",OX41 2GX,69383439601530639,596912480093,2,-7,"Studio 1
Jordan brook, East Amanda",OX41 2GX,360,459794686356,2,2,2
4,,"37 Georgia route, South Alan",SA26 9BJ,27188563257030783,693827892476,2,3,"37 Georgia route, South Alan",SA26 9BJ,209,832960533363,2,82,82
6,,"Studio 24
Jones plaza, South Dorothy",BB4 1AZ,32382895436251667,244006470081,1,5,"Studio 24
Jones plaza, South Dorothy",BB4 1AZ,387,718442815532,1,96,96
3,,"6 Kathryn isle, Leahland",W99 6WR,23656573617577294,976490172213,1,5,"6 Kathryn isle, Leahland",W99 6WR,225,475969532032,1,44,44
