Alternative_Address_UPRN,Estimate_Age,First_Name,Household_ID,Last_Name,Sex,Visitor_Address,Visitor_Address_Country,Visitor_Address_Postcode,Visitor_ID,Visitor_Day_Of_Birth,Visitor_Month_Of_Birth,Visitor_Year_Of_Birth,Visitor_Age,Visitor_Age_Last_Birthday
755811735364,-8,Lynda,94060876685808108,Williams,1,"Flat 17
Burns expressway, Seanport",28,N43 9ZL,2993460057160160059,14,9,1955,64,64
342735184023,1,Henry,68934020241709277,Roberts,2,"5 Daniel meadows, Smartborough",659,BT89 0SJ,8647220502015157024,16,8,1989,30,30
585234218765,-8,Denis,37417236378322796,Jackson,-9,"Flat 83
Valerie fields, North Kimbury",583,G4A 4LD,5843095236249014444,1,9,2019,0,0
260920918517,-8,William,79693031513393839,Freeman,-9,"0 Sam gardens, Mooreville",784,L0 3QZ,5799301116659515419,10,3,1942,77,77
118634188943,1,Rosemary,53199139376570484,Humphreys,1,"Flat 9
Graham streets, Rosemaryfurt",364,BT9N 5PA,6677844736425986829,7,4,1908,111,111
708129568513,1,Rosie,61547457930878794,Potter,-7,"Flat 74z
James road, Julianstad",732,B0E 5TP,3838707245133130602,26,11,2001,18,18
861031573801,-8,Howard,76078502324902033,Black,1,"855 Dylan trace, Kimside",612,L9A 0EA,8342091468113570502,5,9,1932,87,87
371470254928,-8,Jacob,98148450904721630,Baxter,2,"Studio 37
Warren trafficway, Stewartchester",344,DG0 9YN,9708946001474326208,14,8,1999,20,20
727454828852,-8,Dean,29575629962605930,Matthews,1,"Flat 5
Samuel ferry, West Stacey",833,E50 3PN,6074272625468097119,2,12,1974,45,45
540901224647,1,Gillian,42091909976438540,Davies,-7,"Studio 24T
Gail cliff, Littlemouth",674,G3 0LB,9804164535205331555,23,4,1919,100,100
272419720378,-8,Sally,44214467872281958,Jones,2,"Flat 16
Phillips way, Staceyview",28,DY67 5XY,9517297962010595059,24,4,1951,68,68
596481212520,-8,Barry,39367483480967098,Edwards,-9,"27 Katherine lights, North Brianview",10,W5 4US,7728885530298476290,27,7,2015,4,4
829131245594,-8,David,43443418128292450,Sanderson,1,"Flat 3
Shaw lakes, Debrashire",92,N1 8DR,8702034673853227101,15,5,1999,20,20
920332311623,-8,Jonathan,47670336516390195,Ward,-9,"817 Simpson rest, Lake Kimberley",191,S4 4FQ,5558299120240028889,24,11,1993,26,26
830392597488,1,Charlie,70045199448112889,Jackson,1,"0 Brooks rapid, Paigebury",626,DN0 9RH,7455604114864918130,22,3,1931,88,88
787630742326,-8,Amy,31404197435473614,Hart,2,"13 Vincent alley, Foxview",262,M7 1UP,7316211435585538535,2,8,1929,90,90
678740368775,1,Karen,15109961840088756,Hayes,1,"36 Booth ridge, Leachfurt",562,S0 8DA,8128081698189508049,11,6,1972,47,47
107223866578,-8,Arthur,11316276272175261,Morton,2,"31 Owens fall, Brownview",398,L94 8TZ,7053866108556841654,27,2,1920,99,99
998028099625,-8,Bryan,34706161869538710,Brennan,1,"Studio 97I
Carl garden, Ballfort",608,S3 0ZJ,9429926333838876841,6,9,2001,18,18
400412612776,-8,Gerard,82467727405934709,Mason,-9,"Flat 02
Victoria bridge, Boyleport",524,LE47 4YQ,2227630494842829348,26,8,1991,28,28
657124115023,1,Leah,15103736604378859,Lowe,-9,"Studio 3
Scott plain, New Craigland",654,CR6 6PY,3497932980139226363,5,12,1957,62,62
579691795465,1,Eric,49292251904186305,Smith,-9,"Flat 77t
Kemp pass, Lake Cheryl",702,HG2X 8DQ,2676745967911381029,2,6,1995,24,24
710948581360,-8,Alexandra,64799080808248674,Mistry,-9,"8 Stewart trafficway, East Jennifer",554,S1B 9HJ,5458336899910604598,8,4,1986,33,33
128351238572,-8,Zoe,53716392805471559,Thomas,2,"Flat 74
Rogers estates, Roseberg",480,E66 1YL,9405779561567245694,19,4,1927,92,92
387745338866,-8,Scott,21121906623840119,Read,-7,"3 Matthews circles, Ericton",458,GU3 9WG,4836009712979508297,4,2,2008,11,11
831083583259,1,Daniel,63496995988238524,Edwards,1,"0 Rita spurs, Evansshire",586,TQ4 6FT,5709071384813547399,6,4,1956,63,63
863966708693,1,Fiona,64381717135584537,Williams,-9,"7 Neil crescent, Jonesstad",384,EC5 7LN,6272076384325339308,23,4,1998,21,21
503198531920,-8,Vincent,74688285242259377,Bradshaw,-7,"520 Alan crest, Conormouth",404,N9W 9GX,3727619012181441028,26,11,1955,64,64
519716551837,1,Joan,67606871592021461,Davies,-9,"823 Claire ford, Reidburgh",418,NP00 7JD,8105005907626605406,10,11,1913,106,106
506506327181,1,Damian,64210691199916544,Kennedy,2,"3 Kelly turnpike, East Gailland",499,HU8V 9LR,1481292162191333285,13,7,1984,35,35
809844210790,-8,Gregory,65408432848632036,Watts,1,"777 Maurice street, Mannland",666,M89 5PP,3262721449035646410,11,9,2006,13,13
444417229105,-8,Clive,38445884961001789,Sutton,-9,"Flat 7
Stone row, South Leonmouth",795,BB4 5SY,5695475713536548407,13,10,1919,100,100
132640922798,1,Phillip,74809044920263513,Sanders,-7,"568 Cartwright mountain, Lowemouth",674,G1 0PU,8801255079338071431,26,11,1910,109,109
934827449163,1,Henry,94967249237532214,Johnson,2,"794 Carly way, New Joyce",876,W12 9EY,3776036287208939897,11,7,1929,90,90
70990506890,1,Glenn,92532216058416569,Newman,-7,"5 Dorothy cove, North Peterstad",373,PH6 0NG,8755879849039754565,23,9,1959,60,60
316142840971,1,Hollie,54242762876170061,James,1,"Studio 5
West island, North Leah",266,NG4P 9NQ,4027367156852282059,16,2,1930,89,89
377954238903,-8,Timothy,83339356083610435,Khan,-9,"Flat 35
Watson ville, Ashleighburgh",638,PL6 5QP,8824595325031968420,8,3,1955,64,64
525816044017,1,Katie,97397788017259408,Day,-7,"Flat 70L
Davies forge, Henryland",24,NW5B 1EU,2840511081873777814,8,8,1926,93,93
854147869280,-8,Katherine,88555378382113215,Brown,-9,"Studio 8
Wendy crescent, Amandamouth",670,B5 7DA,8020241641946802053,26,11,1997,22,22
