Accomodation_Type,Any_Relationships_CCS,From_Dummy,Household_Address,Household_Address_Postcode,Household_ID,Household_OA,Household_UPRN,Number_Of_Usual_Residents,Ownership_Type
3,,0,-9,GL2 9HB,35199596006496674,E00165442,377365949384,2,4
-3,,0,"Studio 16B
Bradshaw lane, West Frankchester",M3 4DW,79847131312052848,E00120128,720316078704,3,1
3,,0,"4 Bolton pass, New Marilynview",G22 3TZ,97058897368368544,E00164389,601132116773,2,-9
1,,0,"Flat 81K
Rachael route, New Sheilahaven",G8 2JE,92702240886556218,E00170128,206998323316,2,1
3,,0,"673 Oliver path, Atkinsonland",SM7 6DA,81499455146447718,E00119795,818989886636,2,5
3,,0,"Studio 11
Patel road, New Shirleychester",PH93 4AE,21126826876916932,E00165665,937463592730,5,-9
2,,0,"181 Alexandra route, Allenport",TN17 6EN,23943556826459388,E00120117,793161904107,1,4
7,,0,"Studio 62d
May crossing, Woodston",-9,11945279391983120,E00152575,22396674036,2,5
4,,0,"457 Kelly crest, Glenton",M8 6DR,62246449629402224,E00141228,806293495877,2,3
-9,,0,"Flat 0
Amy port, Smithbury",CR17 4JF,98907085513062843,E00165537,186962065070,2,5
5,,0,"1 Leonard passage, East Carly",L3J 0PB,38189801622595813,E00164112,990762903824,3,3
-3,,0,"4 Leonard summit, Garryport",DT6E 0ZJ,90761307148974618,E00165646,720402107347,2,-9
3,,0,"Studio 84a
Booth forks, Kirstytown",N1D 1XH,55634568164751799,E00152609,788697281988,2,-9
6,,0,"593 Bell underpass, Bondhaven",-9,11466363122652807,E00141224,15673246590,5,2
1,,0,"Studio 44
Leslie cliff, New Chloemouth",CR62 1HR,16980692160614361,E00153467,665673235562,1,-9
-7,,0,"Flat 43u
Parkin junction, Port Connor",SA0B 8QS,55688250249725215,E00164587,923023093064,2,-9
1,,0,"38 Sean curve, Millsbury",AB6R 6FH,41734831694475156,E00120041,214014516757,2,-9
2,,0,"39 Frederick mountains, North Naomiview",NR4 1WA,95206018843001505,E00165575,882222761939,5,-7
3,,0,"98 Mark cliffs, Skinnershire",M4C 3UF,36093420038446877,E00142019,307244015228,1,1
6,,0,"157 Dickinson spur, East Sophie",-9,21767424691515954,E00037337,78940226867,2,3
3,,0,"6 Eleanor roads, Lisachester",M7K 5HP,65798944512510404,E00164589,218497280933,5,3
1,,0,"Studio 86g
William hills, Lake Sally",HD6V 0NF,70010944841929557,E00165538,497764917110,2,1
5,,0,"025 Robinson corner, Vanessamouth",B4C 0DR,24020489775945403,E00165489,431835799660,1,4
-9,,0,"Flat 9
Palmer expressway, Port Davidbury",M68 8WA,77791537019527043,E00163855,904799628777,1,1
1,,0,"6 Kerry locks, Lake Frederick",W2C 8YS,41501086694093596,E00163841,419657044789,3,1
1,,0,"Studil 1
Jordan brook, East Amanda",OX41 2GX,54155500073145996,E00037197,596912480093,2,2
4,,0,"37 Georgia route, South Alan",SA26 9BJ,19964815491282767,E00153397,693827892476,2,-7
6,,0,"Studio 24
Jones plaza, South Dorothy",BB4 1AZ,70680135386635566,E00163848,244006470081,1,5
3,,0,"6 Kathryn isle, Leahland",W99 6WR,55962044565047035,E00135631,976490172213,1,1
7,,0,"Studio 03q
Linda pike, Martinside",-9,99392289868983316,E00037296,326996636382,2,1
-3,,0,"Flat 70d
Taylor lodge, South Jadebury",TD91 6EJ,34143562914503914,E00152581,349969970102,1,2
5,,0,"Studio 8
Stephen spurs, Clarketon",-9,16631936516558574,E00164541,624278486289,3,1
5,,0,"Flat 05s
Michael manor, Aliceland",CA04 8BB,74419554644542079,E00037137,445864423030,1,4
3,,0,"11 Peter mission, North Raymondmouth",CA49 8WT,94473517224678804,E00037317,475952249065,3,2
4,,0,"Studio 85Y
Clare skyway, Lake Lorraineport",G91 2DA,55605466593522585,E00165651,254333054320,2,1
1,,0,"4 Jade point, Taylorhaven",W63 8RZ,95143306538411263,E00165441,964939017278,2,2
6,,0,"222 Leah cliff, Maureenfurt",DT8W 8UT,95508247617954944,E00164601,928809234467,2,1
4,,0,"Studio 53
Jonathan ramp, North Elliottmouth",B60 1DG,32265766133455437,E00164562,638539766447,5,-9
