,Household_ID,Household_Address,Household_Address_Postcode,Household_OA,Household_UPRN,Accomodation_Type,Number_Of_Usual_Residents,Ownership_Type,From_Dummy,Any_Relationships_CCS
0,43529968805324939,,Shane,,Green,,,,,
1,96760042356733649,,Brian,,Baker,,,,,
2,90883936628772787,,Anne,,Gough,,,,,
3,70459178929506550,,Maureen,,Wilkinson,,,,,
4,74737845430897632,,Hazel,,Owens,,,,,
5,50091507899375020,,Deborah,,Norton,,,,,
6,33009332971580349,,Chloe,,Taylor,,,,,
7,70905156106601338,,Victoria,,Campbell,,,,,
8,50045481960319094,,Ryan,,Wilson,,,,,
9,41029979740209456,,Russell,,Francis,,,,,
