,Resident_ID,Household_ID,CE_ID,First_Name,Middle_Name,Last_Name,Country_Of_Birth,Country_Of_Birth_UK,Sex,Marital_Status,Marital_Status_CCS,Residence_Type,Ethnic Group (five category),Ethnicity: Tick Box,Alternative_Address_Type,Alternative_Address_Indicator,Alternative_Address,Alternative_Address_Postcode,Alternative_Address_Country,Alternative_Address_OA,Alternative_Address_UPRN,1_Year_Ago_Address_Type,1_Year_Ago_Address,1_Year_Ago_Address_Postcode,1_Year_Ago_Address_Country,1_Year_Ago_Address_OA,1_Year_Ago_Address_UPRN,Workplace_Type,Workplace_Address,Workplace_Address_Postcode,Workplace_Address_Country,Workplace_Address_UPRN,Activity Last Week,In_Full_Time_Education,Is_HH_Term_Time_Address,Armed Forces Indicator,SIC,SOC,Census Return Method,Resident_Day_Of_Birth,Resident_Month_Of_Birth,Resident_Year_Of_Birth,Resident_Age,full_DOB,Household_IDhouse,Household_Address,Household_Address_Postcode,Household_OA,Household_UPRN,Accomodation_Type,Number_Of_Usual_Residents,Ownership_Type,From_Dummy,Any_Relationships_CCS
0,2026847926404610461,8.612506310973629e+16,,Diane,-9,Dunn,422,2,2,3,-7,1,5,13,00000001,2,"Flat 83y
Gregory ferry, Michaelfurt",L19 5JU,659,E00119884,890253050256,-9,"1 Rhys mews, West Helen",EX6 3HN,924,E00037245,175259659197,-9,"Flat 21
Hughes wells, Danielleland",TN6 8ZS,52,306404042870,2,2,3,1,3800,4215,1,4,7,1992,27,04071992,,,,,,,,,,
1,8816755856521171598,8.612506310973629e+16,,Jacob,-9,Dunn,48,1,-7,16,-7,1,1,17,11000010,2,"982 Jackson hollow, Fieldstad",G99 0PL,31,E00135734,499410093881,-7,"Flat 37U
Julia viaduct, Hilarychester",L8 4DP,985,E00135542,388136971784,2,"Flat 21l
James lane, Port Marian",B63 1JU,368,711605418712,1,2,-9,2,7500,5411,4,14,10,2014,5,14102014,,,,,,,,,,
2,6902955862496276386,2.5037433655509276e+16,,Justin,Bradley,Gibbs,710,-9,1,6,-9,1,4,8,00101110,3,"639 Helen fork, New Andrea",ME53 3YH,744,E00141268,617380026649,5,"Studio 66a
Higgins via, New Leslieville",E97 0AQ,364,E00120002,470662212985,-7,"2 Fiona streets, New Ricky",TW6 3WF,328,242072931479,2,-9,1,1,4800,2318,2,19,10,2009,10,19102009,,,,,,,,,,
3,7276331413508044428,3.818230700100137e+16,,Grace,-9,Ahmed,752,-7,-7,13,7,1,5,-9,01101101,1,"162 Williams place, Lake Timothyton",M85 9AE,364,E00135397,839668623711,2,"461 Jordan flat, South Douglastown",WV50 0BT,580,E00152568,953939770716,-9,"Studio 12A
Georgia well, South Benjaminbury",E74 6LA,408,703694611575,3,2,3,2,4540,6212,1,15,3,1975,44,15031975,,,,,,,,,,
4,3989811936584298164,3.818230700100137e+16,,Russell,-9,Ahmed,234,-9,-9,6,-9,1,5,2,01000101,-9,"Studio 2
Craig field, West Stanley",E7H 2ER,52,E00141208,831244947195,-7,"00 Ricky burgs, Georginamouth",N0 6LW,466,E00142050,439425475482,-9,"1 Liam plains, Port Norman",S7H 2XW,222,989724103585,7,1,2,2,1600,4113,1,22,10,1952,67,22101952,,,,,,,,,,
5,6109024271550342754,3.814168339711051e+16,,Clifford,-9,Taylor,710,1,1,-7,2,1,1,10,00110010,-7,"Flat 41
Williamson locks, Georginamouth",LE64 9WR,740,E00152648,103484341332,-7,"Studio 63O
Kelly loaf, South Nigel",M36 8BF,192,E00037161,452790822417,4,"Studio 55q
Jason turnpike, Thomsonside",NR16 0ZY,312,720151617123,1,1,-7,3,4700,3239,2,7,11,2019,0,07112019,,,,,,,,,,
6,5946363004958640111,1.0972083188108348e+16,,Kirsty,-9,Wilkins,52,2,-9,13,2,1,4,17,00000011,-7,"280 Begum corners, Anthonyside",M96 5EE,768,E00152629,993859900293,1,"576 Mandy street, East Russellborough",B9K 7UY,288,E00119886,289439657508,4,"925 Carol mission, New Deborah",G6 5QF,760,766320981994,7,2,2,3,9800,1242,1,21,3,1961,58,21031961,,,,,,,,,,
7,3892493888172020635,1.0972083188108348e+16,,Jay,-9,Wilkins,574,2,1,15,-7,1,1,19,00100001,-9,"4 Stacey canyon, Luketown",IM7 8ZU,798,E00153535,287482374357,2,"500 Bethany trace, East Kathryn",TF5X 4EN,144,E00153542,434932502545,2,"Studio 75P
Oliver manor, Carolechester",TN2M 1FN,410,345561148277,1,1,-7,1,2100,6221,2,28,1,2008,11,28012008,,,,,,,,,,
8,3446042112706324684,1.251392927439408e+16,,Frank,-9,Watson,417,1,2,10,3,1,4,17,10100100,-9,"Studio 96x
Woods mission, Hiltonfort",LE5V 0TZ,434,E00135533,662635097563,2,"Studio 35
Douglas plain, Wallismouth",EX6 9YD,764,E00135473,698737479634,3,"043 Joel plaza, Port Paula",G9 3BW,570,276976135264,-9,1,-7,3,800,1116,3,7,12,2001,18,07122001,,,,,,,,,,
9,2206598359916745165,1.251392927439408e+16,,Victor,Gregory,West,364,2,-7,16,5,1,1,2,00101001,3,"38 Chelsea glens, South Hazel",LD6 4UX,40,E00135719,229170045638,-7,"Studio 49
Jane station, East Cheryl",S0F 7FX,646,E00119952,386988551875,-7,"205 Hazel turnpike, North Carly",WV6E 7ZG,740,682787430916,2,2,2,2,2710,1150,2,6,8,1965,54,06081965,,,,,,,,,,
