Accomodation_Type,Any_Relationships,From_Dummy,Household_ID,Resident_Count,Ownership_Type,QID,Census_Address,Census_Address_Postcode,Census_Address_Country,Census_Address_Indicator,Resident_Count_verify,Other_Address_Count,Other_Address_Count_verify
3,,0,h51529996932211117,2,4,q3955147728976714,"Studio 21u
Jean road
Martinmouth",L6J 6LZ,986,375090471020,2,58,58
-3,,0,h61004465719790316,2,4,q9924199835227750,"635 Dixon inlet
Millsbury",WS39 5BH,266,28322777911,2,93,93
4,,0,h28947214572096471,2,-7,q5946290877453810,"83 Higgins meadow
Robinsonchester",L7 2XA,497,587242173980,2,8,8
3,,0,h77037714577460359,2,5,q1226309269370414,"Studio 08
Beth path
Donnaton",GL72 1SZ,520,326762614930,2,42,42
3,,0,h78066807240522718,2,5,q9623632540219007,"31 Green harbors
Shanebury",DG2 8PU,588,580014449963,2,48,48
7,,0,h60350598621794121,2,-9,q2440967504057809,"81 Leigh circle
South Simon",M9F 7PR,301,277879961446,2,1,1
6,,0,h66355168118442457,1,2,q1348173589281566,"34 Jeremy cliffs
Connollyfurt",B58 3UU,857,135580274132,1,14,14
5,,0,h26383878247241924,3,3,q2568858240251822,"8 Yvonne knoll
Reynoldston",L1 5WT,991,717806907646,3,2,2
-7,,0,h87078845142742326,1,3,q8061370669451829,"4 Michael gateway
South Benjaminchester",M7 1LU,512,707506756710,1,20,20
2,,0,h32071836734975043,5,2,q8246597843574748,"7 Barbara square
West Katyberg",SO5Y 1TU,837,448362313008,5,15,15
-7,,0,h17642027363839928,2,5,q1474677712447745,"811 Fisher circles
Beverleyberg",L9J 4WD,255,924018389693,2,98,98
4,,0,h84917366738576427,2,5,q7198023905031042,"0 Ronald mount
North Georginaland",BH1Y 8WW,175,275055701502,2,78,78
5,,0,h57997549208302497,5,4,q4039408428426649,"603 Louise inlet
Mariamouth",TN6B 0BZ,236,934263967019,5,91,91
7,,0,h68047856491482065,2,5,q2756002771038131,"95 Ann greens
Quinnside",PE47 2ZW,605,34604114196,2,60,60
-3,,0,h65512644446424480,4,-7,q3989757004553593,"22 Paula common
Davieshaven",EN4W 1EW,480,541713836141,4,43,43
7,,0,h76898272424697706,1,-7,q4718086389687016,"03 Howard plaza
Thorntonmouth",EN3V 2ZQ,382,779197764323,1,68,68
-7,,0,h40598622594113859,2,2,q1746440721439308,"Flat 96p
Edwards glens
East Lisa",TQ5E 1DU,909,121714389512,2,87,87
7,,0,h41910422267338920,5,-9,q8160766670010066,"06 Nigel manors
Bryanport",W49 3UX,440,494606795176,5,29,29
6,,0,h77225349195582230,2,-7,q5703382236733718,"Flat 7
Dunn curve
Edwardsport",M5S 1WW,908,580049394252,2,48,48
7,,0,h90166744881739593,5,1,q5903814674506567,"Studio 22
Davies mills
South Darren",BA6 9UN,850,188001028583,5,58,58
-3,,0,h29925476250330664,2,-7,q8166749600393359,"70 Owen walks
Amymouth",WF72 7JE,169,821968876847,2,11,11
6,,0,h85109494109451852,2,2,q8446110862999012,"Studio 6
Elaine cliffs
East Gareth",M6 8DJ,683,286225169804,2,32,32
-3,,0,h39261416051134701,5,1,q8201178304344461,"Flat 4
Shannon mission
New Sallyberg",EN74 3AB,320,821010343916,5,74,74
-3,,0,h62404216122977327,2,2,q6932146320982782,"Flat 7
Brown mews
North Carlbury",WC9H 2YH,748,60628150131,2,81,81
-9,,0,h87814592442693741,2,4,q1231847218415874,"64 Begum parkway
Tonyside",BA2A 6HA,985,426065254543,2,68,68
-9,,0,h18753411459423485,2,-9,q9001938650498490,"Flat 27
Elaine circles
Juneton",CW0N 1YW,811,892948270385,2,51,51
7,,0,h82512558614785605,2,3,q2854398810854801,"9 Emma lakes
Jasminebury",G1D 7UT,841,378553766036,2,36,36
2,,0,h26484962682344483,3,5,q3197236111078326,"Flat 6
Conor divide
East Lucyport",WC9P 5PP,907,615319229202,3,25,25
1,,0,h97975545809284798,1,2,q6277698886136055,"Flat 3
Justin plains
Port Joan",B6G 2GB,956,858306595039,1,44,44
6,,0,h91848588386350858,2,5,q2154626612159321,"2 Andrews manor
New Hannah",L27 3HX,880,164016438418,2,59,59
3,,0,h81679276867160287,1,3,q8907678483571618,"209 Sian roads
East Joshuabury",N3 4QS,728,33266401078,1,29,29
7,,0,h55874530520371047,5,5,q5975029467422069,"Studio 29
Anderson port
New Judith",KY7 0AT,433,486402800933,5,69,69
-3,,0,h27149123971681083,2,3,q9355436103972770,"Flat 4
Ahmed corners
West Claire",EC1P 2XH,678,659439200545,2,50,50
-9,,0,h60126349252913098,3,2,q2789969739299831,"140 Harding point
Lake Dean",CH2 4TB,401,227578683412,3,51,51
-3,,0,h49475040475950115,2,3,q4883738648073206,"68 Green parkways
Smithberg",M18 7YN,143,596240914274,2,3,3
2,,0,h29874244775187683,2,1,q4036815226183744,"Studio 46
Daniel mews
West Alison",ME4N 4XE,282,222814607570,2,65,65
-9,,0,h88284334020163362,1,1,q3344782954770786,"Flat 8
Charlotte forest
Joelland",HU86 2RD,929,360319790721,1,65,65
4,,0,h60706528052753048,2,2,q6096001247710756,"Flat 8
Marion circles
East Rebecca",LN3 5WH,273,648592137211,2,94,94
2,,0,h48399845337916817,1,5,q3305201842376602,"Flat 9
Thomas ridges
North Elizabeth",M4 1UH,316,217420422933,1,84,84
6,,0,h12903846695120285,2,-7,q3315456079429338,"231 Cameron prairie
New Karen",E87 5JN,834,435271825067,2,57,57
2,,0,h45225578479275764,5,4,q2774542942360817,"Studio 32h
King plaza
Bradshawmouth",BR79 3LG,545,275728680121,5,4,4
2,,0,h79245095526331372,2,1,q5437441781035363,"Studio 0
Joan green
Bakerside",G0C 6HE,175,912234492807,2,98,98
-9,,0,h99455904353250149,2,5,q5685049495705407,"3 Amber ville
O'Neillberg",EN12 6LD,441,848327534063,2,50,50
7,,0,h26297641714183279,2,2,q4137061460151486,"36 Graham place
Gregoryfurt",HX6 9SY,853,748353484923,2,40,40
5,,0,h86524887174900558,5,2,q5249949480796870,"4 Alex pass
Robinsonland",M6H 8BJ,948,601552970506,5,92,92
2,,0,h28741118058597344,1,-9,q7231247392741680,"24 Evans islands
South Kerry",B38 8EQ,570,839757664881,1,32,32
-7,,0,h12055257140362620,2,-9,q8489544845875833,"Flat 9
Hayes turnpike
New Gemmaville",B2F 8GF,704,293987564851,2,25,25
-3,,0,h52187838588028731,3,1,q4667686993288638,"Flat 96b
Evans lane
Lake Leanne",M1 6RG,789,218440306571,3,75,75
4,,0,h84580032320274614,2,2,q6589437189706518,"Flat 45U
Holmes alley
Brianburgh",WD4 3ZU,195,347551935497,2,20,20
2,,0,h94605800644900292,2,-9,q7369398634258627,"Flat 81G
Michelle plain
East Jeremy",ML7 1UT,194,323044623591,2,79,79
4,,0,h21832186703778876,4,3,q7408859296613973,"605 Ross square
West Gemma",EX5V 3BP,538,483873047435,4,8,8
-3,,0,h99129563217850886,3,-9,q4664506396960235,"Flat 9
Clarke loop
Ianchester",SY2A 1UG,394,858160316053,3,27,27
7,,0,h91228015531403106,1,3,q8591551716294849,"546 Taylor parkway
Port Gordon",B7 3ZS,257,994643038021,1,5,5
1,,0,h34983546887505843,1,5,q4691843318859804,"Studio 6
Lydia manor
New Michael",N6K 0YJ,308,324067054927,1,40,40
-3,,0,h30106537039997047,5,4,q9616001802102813,"Flat 63
Hannah shore
Port June",W4 0UA,239,394839629361,5,68,68
2,,0,h32097008069137810,1,2,q9778074331453582,"Flat 6
Claire row
Paulberg",CF2X 5LY,457,302278316718,1,98,98
1,,0,h75126733636203010,4,2,q8469267590395140,"Studio 80
Sharpe cape
East Christopher",S57 5ZJ,752,264460427524,4,56,56
2,,0,h67604067655050740,2,-7,q9466785061426328,"Flat 56
Holly place
Samanthaton",N8S 3UJ,983,19632302565,2,5,5
-7,,0,h57865620496598214,1,1,q1107410431480042,"Studio 11
Jasmine lights
South Samuel",LN1 5SX,304,18203032290,1,35,35
4,,0,h49282357448298083,1,-7,q7241434913009814,"Studio 7
Marie isle
Port Paigechester",EC9M 4DU,987,861073417797,1,49,49
3,,0,h93537829769779412,1,5,q1476607685522208,"903 Sykes junctions
East Adam",TQ0E 7ZX,661,458114312778,1,95,95
7,,0,h86123411679233165,3,-9,q7081073064932975,"2 Elliott ports
North Grace",WV4V 3TD,876,785224501622,3,7,7
3,,0,h32920296209042621,3,-9,q3128773519514255,"3 Amanda canyon
Charlesfort",S3F 9HX,781,574721119506,3,1,1
3,,0,h36643858976354575,2,-9,q5897213206051237,"Flat 8
Julie heights
Port Linda",AB97 4JQ,883,793957371957,2,10,10
7,,0,h52451803953775642,2,-9,q3938437284068428,"Flat 78
Max land
Lake Alisonland",TA6 7NT,356,968763479831,2,22,22
-7,,0,h36953882809825279,1,4,q4260941641047463,"41 Ellis well
Coopermouth",S6 8RY,624,447048886084,1,97,97
3,,0,h87335555736850543,1,-7,q2399469782128358,"Flat 50p
Lees burgs
Pollardbury",DH8 8EG,647,950306805110,1,67,67
1,,0,h20087473405108035,1,-9,q1678459697304515,"Flat 31
Harrison station
Armstrongshire",B2 3ZE,914,37853994847,1,12,12
7,,0,h16613965179137396,2,-9,q2198159340650276,"Studio 13
Gillian land
Jodieville",B0 6PE,853,500338447776,2,39,39
1,,0,h27963952689288319,2,3,q6365845122268679,"8 Bates vista
Bradleyton",N5 0QN,949,508019749380,2,78,78
6,,0,h27824591965430727,2,5,q4395936481785940,"77 Hilary valleys
Antonyport",CR45 0TP,948,227910774946,2,37,37
1,,0,h18046550092283555,2,-9,q8873637756707813,"32 Chambers glen
Kentchester",W5 4EP,384,389187200007,2,89,89
1,,0,h23451261496232711,4,2,q1398269501777777,"62 Barbara stream
New Ann",S82 6TL,903,918063308768,4,73,73
4,,0,h95026647321527428,3,-9,q6858090777647236,"Studio 5
Clive overpass
New Glenn",CF4 0NE,761,133501654199,3,79,79
6,,0,h60156697447095951,5,-7,q9039579242209750,"7 Josephine divide
Fletchershire",S29 1FE,798,28275374276,5,2,2
2,,0,h29222994228150539,3,1,q6144631280838101,"71 Julian parks
South Jake",G9 2NY,391,976310501391,3,12,12
5,,0,h72101280681009320,5,1,q4516959815266776,"Studio 1
Zoe oval
Andreaside",S3J 3XU,971,992954958469,5,29,29
-7,,0,h89180941231877248,2,3,q9893055637995020,"Flat 55
Christopher crossroad
Murphytown",B2 7NH,122,66285552599,2,10,10
-9,,0,h38178382364704656,2,-9,q2389426285169388,"Flat 2
Baker street
Welchmouth",WF11 8JQ,850,939121770294,2,92,92
6,,0,h87923604778011966,1,4,q5927589211338400,"Studio 46Q
Marc mount
Port Kenneth",ZE63 0YZ,844,894945316464,1,15,15
3,,0,h77872464660465186,2,-9,q6781501302123576,"7 Duncan motorway
Port Tracey",G34 4WF,388,593828383577,2,49,49
5,,0,h11728072643502644,1,1,q1031044348111101,"Studio 68
Brown meadow
Alantown",WC56 4TH,230,899225406168,1,51,51
-3,,0,h32318666546577218,1,4,q6479739737953662,"3 Alan passage
West Heather",PO0 2QW,488,722225570116,1,10,10
7,,0,h16855692673454459,4,2,q4577271138275816,"Studio 64
Brenda stravenue
Philipside",NG20 9TB,698,764971182371,4,70,70
5,,0,h76057507550870675,1,2,q3133569862873193,"98 Patrick freeway
North Ronaldmouth",G1 7SG,637,594593873163,1,47,47
7,,0,h72265081769696076,2,5,q1662554934474963,"Flat 33
Edwards curve
Adamsmouth",G31 3AB,905,956977243107,2,68,68
-3,,0,h39313882530587661,2,-9,q1197652274136103,"70 Smith cove
Savageberg",KW2A 5ER,249,143122144944,2,73,73
3,,0,h77678995803283670,3,1,q2306461446789054,"Studio 37
Nathan ferry
Lewisview",M6W 7ZU,194,254641737235,3,29,29
6,,0,h54663771728817857,2,5,q8631054729568979,"Studio 07I
Billy canyon
Martynfurt",DT2 2YD,732,205010548871,2,19,19
4,,0,h45448183944415871,1,-9,q5228266677399294,"511 Daly course
Matthewstown",E51 7GW,258,910617526763,1,64,64
1,,0,h31457338106128541,3,5,q9892390887708283,"Studio 77
George meadow
East Ameliahaven",S4D 8TE,888,782721135730,3,86,86
