Address,Address_Postcode,Output_Area,UPRN,Address_Raw,QID
"Studio 21u
Jean road
Martinmouth",L6J 6LZ,E00152585,382594856542,"Studio 21u
Jean road
Martinmouth
L6J 6LZ",q1185471629336789
"635 Dixon inlet
Millsbury",WS39 5BH,E00164598,671892198766,"635 Dixon inlet
Millsbury
WS39 5BH",q6050621139253552
"83 Higgins meadow
Robinsonchester",L7 2XA,E00135533,160498834039,"83 Higgins meadow
Robinsonchester
L7 2XA",q9559650672863252
"Studio 08
Beth path
Donnaton",GL72 ASZ,E00170117,184659012294,"Studio 08
Beth path
Donnaton
GL72 1SZ",q4060336098288410
"31 Green hHrbors
Shanebury",DG2 8PU,E00119998,765517731345,"31 Green harbors
Shanebury
DG2 8PU",q3922778490064531
"81 Leigh circle
South Simon",M9F 7PR,E00141204,116098273194,"81 Leigh circle
South Simon
M9F 7PR",q9654220872268071
"34 Jeremy cliffs
Connollyfurt",B58 3UU,E00142230,875695202255,"34 Jeremy cliffs
Connollyfurt
B58 3UU",q3178898950263619
"8 Yvonne knoll
Reynoldston",L1 5WT,E00165404,988189533083,"8 Yvonne knoll
Reynoldston
L1 5WT",q8890622601438933
"4 Michael gateway
South Benjaminchester",M7 1LU,E00165612,476739607781,"4 Michael gateway
South Benjaminchester
M7 1LU",q9318213818488986
"7 Barbara square
West Katyberg",SO5Y 1TU,E00037189,495996886620,"7 Barbara square
West Katyberg
SO5Y 1TU",q3132785388537970
"811 Fisher circles
Beverleyberg",L9J 4WD,E00152538,747178794183,"811 Fisher circles
Beverleyberg
L9J 4WD",q9528543580643835
"603 Louise inlet
Mariamouth",TN6B 0BZ,E00153391,519597791380,"603 Louise inlet
Mariamouth
TN6B 0BZ",q1972997274475494
"95 Ann greens
Quinnside",PE47 2ZW,E00142035,471200410344,"95 Ann greens
Quinnside
PE47 2ZW",q9404564799131228
"22 Paula common
Davieshaven",EN4W 1EW,E00135801,290332954402,"22 Paula common
Davieshaven
EN4W 1EW",q8320598892111385
"03 Howard plaza
Thorntonmouth",EN3V 2ZQ,E00153675,481369672186,"03 Howard plaza
Thorntonmouth
EN3V 2ZQ",q2699190611781705
"Flat 96p
Edwards glens
East Lisa",TQ5E 1DU,E00141218,919875483258,"Flat 96p
Edwards glens
East Lisa
TQ5E 1DU",q2522942952748618
"06 Nigel manors
Bryanport",W49 3UX,E00163960,666245202999,"06 Nigel manors
Bryanport
W49 3UX",q4337189624603484
"Flat 7
Dunn curve
Edwardsport",M5S 1WW,E00171435,58451914033,"Flat 7
Dunn curve
Edwardsport
M5S 1WW",q5433300743219974
"Studio 22
Davies mills
South Darren",-9,E00141225,468464043343,"Studio 22
Davies mills
South Darren
BA6 9UN",q6373821646286300
"70 Owen walks
Amymouth",WF72 7JE,E00153526,485369990114,"70 Owen walks
Amymouth
WF72 7JE",q2948810503568350
