Household_ID,QID,Accommodation_Type,Resident_Count,Ownership_Type,From_Dummy,Any_Relationships,Census_Address,Census_Address_Postcode,Census_Address_UPRN,Census_Address_Output_Area,Census_Address_Country,Census_Address_Indicator,Resident_Count_Verify,Census_Address_Count,Census_Address_Count_Verify,Census_Address_Accommodation_Type,Census_Address_Ownership_Type
h51529996932211117,q3955147728976714,3,2,4,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h61004465719790316,q9924199835227750,-3,2,4,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h28947214572096471,q5946290877453810,4,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h77037714577460359,q1226309269370414,3,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h78066807240522718,q9623632540219007,3,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h60350598621794121,q2440967504057809,7,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h66355168118442457,q1348173589281566,6,1,2,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h26383878247241924,q2568858240251822,5,3,3,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h87078845142742326,q8061370669451829,-7,1,3,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h32071836734975043,q8246597843574748,2,5,2,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h17642027363839928,q1474677712447745,-7,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h84917366738576427,q7198023905031042,4,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h57997549208302497,q4039408428426649,5,5,4,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h68047856491482065,q2756002771038131,7,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h65512644446424480,q3989757004553593,-3,4,-7,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h76898272424697706,q4718086389687016,7,1,-7,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h40598622594113859,q1746440721439308,-7,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h41910422267338920,q8160766670010066,7,5,-9,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h77225349195582230,q5703382236733718,6,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h90166744881739593,q5903814674506567,7,5,1,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h29925476250330664,q8166749600393359,-3,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h85109494109451852,q8446110862999012,6,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h39261416051134701,q8201178304344461,-3,5,1,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h62404216122977327,q6932146320982782,-3,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h87814592442693741,q1231847218415874,-9,2,4,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h18753411459423485,q9001938650498490,-9,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h82512558614785605,q2854398810854801,7,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h26484962682344483,q3197236111078326,2,3,5,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h97975545809284798,q6277698886136055,1,1,2,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h91848588386350858,q2154626612159321,6,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h81679276867160287,q8907678483571618,3,1,3,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h55874530520371047,q5975029467422069,7,5,5,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h27149123971681083,q9355436103972770,-3,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h60126349252913098,q2789969739299831,-9,3,2,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h49475040475950115,q4883738648073206,-3,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h29874244775187683,q4036815226183744,2,2,1,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h88284334020163362,q3344782954770786,-9,1,1,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h60706528052753048,q6096001247710756,4,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h48399845337916817,q3305201842376602,2,1,5,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h12903846695120285,q3315456079429338,-9,2,-9,0,,"231 Cameron prairie
New Karen",E87 5JN,175536130012,E00119937,834,435271825067,2,57,57,-9,5
h45225578479275764,q2774542942360817,2,5,4,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
